acc_x[g],acc_y[g],acc_z[g]
-0.241,0.038,0.969
-0.242,-0.007,1.023
-0.326,0.042,0.908
-0.349,0.082,0.861
-0.269,0.055,0.923
-0.254,0.011,1.04
-0.275,0.03,1.015
-0.299,0.069,0.954
-0.286,0.094,0.849
-0.255,-0.01,1.018
-0.285,0.027,1.016
-0.284,0.081,1.013
-0.268,0.078,0.894
-0.247,0,0.963
-0.314,0.013,0.976
-0.314,0.048,0.989
-0.275,0.109,0.93
-0.228,0.026,1
-0.292,-0.019,0.954
-0.312,0.038,0.94
-0.32,0.109,0.904
-0.244,0.039,0.972
-0.24,0.007,1.056
-0.278,0.01,0.963
-0.325,0.112,0.891
-0.288,0.065,0.882
-0.257,-0.016,1.07
-0.289,0.042,0.965
-0.305,0.072,0.956
-0.268,0.069,0.861
-0.282,-0.009,0.953
-0.325,0.026,0.984
-0.291,0.068,1.001
-0.267,0.101,0.901
-0.228,-0.012,0.983
-0.303,0.004,0.949
-0.339,0.076,0.945
-0.298,0.112,0.926
-0.2,0.01,1.029
-0.23,-0.001,1.057
-0.321,0.049,0.913
-0.337,0.118,0.886
-0.256,0.03,0.972
-0.249,-0.011,1.04
-0.272,0.053,0.989
-0.325,0.086,0.883
-0.304,0.061,0.874
-0.283,-0.024,1.008
-0.267,0.031,1.032
-0.304,0.096,0.947
